Product Name,Price,Rating,Image Link,Product Link
"Redmi 7A (Matte Black, 2GB RAM, 16GB Storage)","5,499",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71YK3AQN02L._AC_UY218_ML3_.jpg,https://www.amazon.in/Redmi-7A-Matte-Black-Storage/dp/B07X4QT7T3/ref=sr_1_1?keywords=best+mobile&qid=1574232170&sr=8-1
"Redmi Note 8 Pro (Shadow Black, 6GB RAM, 128GB Storage)","15,998",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71eq+o0JBlL._AC_UY218_ML3_.jpg,https://www.amazon.in/Redmi-Note-Pro-Shadow-Storage/dp/B07X2KLKRZ/ref=sr_1_2?keywords=best+mobile&qid=1574232170&smid=A23AODI1X2CEAE&sr=8-2
"Redmi Note 8 Pro (Halo White, 6GB RAM, 128GB Storage)","15,998",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61ACGAKmw3L._AC_UY218_ML3_.jpg,https://www.amazon.in/Redmi-Note-Pro-White-Storage/dp/B07X4PKGSN/ref=sr_1_3?keywords=best+mobile&qid=1574232170&smid=A23AODI1X2CEAE&sr=8-3
"Nokia 6.1 Plus (Black, 6GB RAM, 64GB Storage)","9,999",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61UXDdyLTxL._AC_UY218_ML3_.jpg,https://www.amazon.in/Nokia-6-1-Plus-Black-Storage/dp/B07T4VRYS8/ref=sr_1_4?keywords=best+mobile&qid=1574232170&sr=8-4
"Samsung Galaxy M10 (Ocean Blue , 3GB RAM, 32GB Storage)","7,499",4.0 out of 5 stars,https://m.media-amazon.com/images/I/613Os2k0a2L._AC_UY218_ML3_.jpg,https://www.amazon.in/Samsung-Galaxy-Ocean-Blue-32GB/dp/B07HGH8JWQ/ref=sr_1_5?keywords=best+mobile&qid=1574232170&sr=8-5
"Samsung Galaxy M30s ( Blue, 6GB RAM, Super AMOLED Display, 128GB Storage, 6000mAH Battery)","16,999",4.4 out of 5 stars,https://m.media-amazon.com/images/I/71EvOK7BhuL._AC_UY218_ML3_.jpg,https://www.amazon.in/Test-Exclusive-631/dp/B07HGJ7WM6/ref=sr_1_6?keywords=best+mobile&qid=1574232170&sr=8-6
"Redmi 7A (Matte Blue, 2GB RAM, 16GB Storage)","5,499",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71CyW7YCRaL._AC_UY218_ML3_.jpg,https://www.amazon.in/Redmi-7A-Matte-Blue-Storage/dp/B07X3NZZN6/ref=sr_1_7?keywords=best+mobile&qid=1574232170&sr=8-7
"Samsung Galaxy M30s (Sapphire Blue, 4GB RAM, Super AMOLED Display, 64GB Storage, 6000mAH Battery)","13,999",4.4 out of 5 stars,https://m.media-amazon.com/images/I/71EvOK7BhuL._AC_UY218_ML3_.jpg,https://www.amazon.in/Test-Exclusive-628/dp/B07HGMQX6N/ref=sr_1_8?keywords=best+mobile&qid=1574232170&sr=8-8
"Samsung Galaxy M30s (Pearl White, 4GB RAM, Super AMOLED Display, 64GB Storage, 6000mAH Battery)","13,999",4.4 out of 5 stars,https://m.media-amazon.com/images/I/71iPcMPwOBL._AC_UY218_ML3_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01720721EHMYN3FK54AK&url=%2FTest-Exclusive-627%2Fdp%2FB07HGJKDQT%2Fref%3Dsr_1_9_sspa%3Fkeywords%3Dbest%2Bmobile%26qid%3D1574232170%26sr%3D8-9-spons%26psc%3D1&qualifier=1574232170&id=5218683277805349&widgetName=sp_mtf
"Samsung Galaxy M10s (Stainless Black, 3GB RAM, Super AMOLED Display, 32GB Storage, 4000mAH Battery)","8,499",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71vZUidoQ7L._AC_UY218_ML3_.jpg,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_2?ie=UTF8&adId=A00051151CETPK0AYAN0E&url=%2FTest-Exclusive-634%2Fdp%2FB07HGHZ2K9%2Fref%3Dsr_1_10_sspa%3Fkeywords%3Dbest%2Bmobile%26qid%3D1574232170%26sr%3D8-10-spons%26psc%3D1&qualifier=1574232170&id=5218683277805349&widgetName=sp_mtf
